F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0  1041     1  0  80   0 - 73354 -      ?        00:00:00 boltd
4 S     0  1043     1  0  80   0 - 129627 -     ?        00:00:13 packagekitd
0 S   121  1050   885  0  80   0 - 122876 -     tty1     00:00:00 gsd-xsettings
0 S   121  1051   885  0  80   0 - 68682 -      tty1     00:00:00 gsd-a11y-settin
0 S   121  1053   885  0  80   0 - 85058 -      tty1     00:00:00 gsd-clipboard
0 S   121  1055   885  0  80   0 - 166165 -     tty1     00:00:00 gsd-color
0 S   121  1058   885  0  80   0 - 97050 -      tty1     00:00:00 gsd-datetime
0 S   121  1059   885  0  80   0 - 69556 -      tty1     00:00:00 gsd-housekeepin
0 S   121  1060   885  0  80   0 - 125786 -     tty1     00:00:00 gsd-keyboard
0 S   121  1065   885  0  80   0 - 302374 -     tty1     00:00:00 gsd-media-keys
0 S   121  1067   885  0  80   0 - 49120 -      tty1     00:00:00 gsd-mouse
0 S   121  1068   885  0  80   0 - 199238 -     tty1     00:00:00 gsd-power
0 S   121  1072   885  0  80   0 - 65376 -      tty1     00:00:00 gsd-print-notif
0 S   121  1075   885  0  80   0 - 49125 -      tty1     00:00:00 gsd-rfkill
0 S   121  1080   885  0  80   0 - 67554 -      tty1     00:00:00 gsd-screensaver
0 S   121  1081   885  0  80   0 - 75446 -      tty1     00:00:00 gsd-sharing
0 S   121  1091   885  0  80   0 - 93659 -      tty1     00:00:00 gsd-smartcard
0 S   121  1095   885  0  80   0 - 82886 -      tty1     00:00:00 gsd-sound
0 S   121  1098   885  0  80   0 - 106260 -     tty1     00:00:00 gsd-wacom
4 S   116  1123     1  0  80   0 - 80395 -      ?        00:00:00 colord
0 S   121  1144  1010  0  80   0 - 50364 -      tty1     00:00:00 ibus-engine-sim
4 S     0  1172   774  0  80   0 - 66072 -      ?        00:00:00 gdm-session-wor
4 S  1000  1176     1  0  80   0 - 19228 ep_pol ?        00:00:00 systemd
5 S  1000  1177  1176  0  80   0 - 28477 -      ?        00:00:00 (sd-pam)
0 S  1000  1188  1176  0  80   0 - 116597 ep_pol ?       00:00:00 ubuntu-report
1 S  1000  1195     1  0  80   0 - 70723 -      ?        00:00:00 gnome-keyring-d
4 S  1000  1199  1172  0  80   0 - 51663 poll_s tty2     00:00:00 gdm-x-session
4 S  1000  1201  1199  2  80   0 - 200292 ep_pol tty2    00:00:49 Xorg
0 S  1000  1213  1176  0  80   0 - 12691 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  1216  1199  0  80   0 - 138401 poll_s tty2    00:00:00 gnome-session-b
1 S  1000  1311  1216  0  80   0 -  2828 -      ?        00:00:00 ssh-agent
0 S  1000  1317  1176  0  80   0 - 87322 poll_s ?        00:00:00 at-spi-bus-laun
0 S  1000  1322  1317  0  80   0 - 12482 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  1325  1176  0  80   0 - 55195 poll_s ?        00:00:00 at-spi2-registr
0 S  1000  1350  1216  7  80   0 - 891501 poll_s tty2    00:02:46 gnome-shell
0 S  1000  1360  1176  0  80   0 - 71623 poll_s ?        00:00:00 gvfsd
0 S  1000  1365  1176  0  80   0 - 104028 futex_ ?       00:00:00 gvfsd-fuse
1 S  1000  1376     1  0  69 -11 - 465132 poll_s ?       00:00:03 pulseaudio
0 S  1000  1387  1350  0  80   0 - 88996 poll_s tty2     00:00:17 ibus-daemon
0 S  1000  1391  1387  0  80   0 - 68808 poll_s tty2     00:00:00 ibus-dconf
0 S  1000  1394     1  0  80   0 - 84628 poll_s tty2     00:00:00 ibus-x11
0 S  1000  1397  1176  0  80   0 - 68294 poll_s ?        00:00:00 ibus-portal
0 S  1000  1403  1176  0  80   0 - 66512 poll_s ?        00:00:00 xdg-permission-
0 S  1000  1410  1176  0  80   0 - 172481 poll_s ?       00:00:00 gnome-shell-cal
0 S  1000  1414  1176  0  80   0 - 190123 poll_s ?       00:00:00 evolution-sourc
0 S  1000  1423  1176  0  80   0 - 196364 poll_s ?       00:00:00 goa-daemon
0 S  1000  1436  1176  0  80   0 - 92895 poll_s ?        00:00:00 goa-identity-se
0 S  1000  1441  1176  0  80   0 - 75241 poll_s ?        00:00:00 gvfs-udisks2-vo
0 S  1000  1445  1176  0  80   0 - 67141 poll_s ?        00:00:00 gvfs-goa-volume
0 S  1000  1449  1176  0  80   0 - 93337 poll_s ?        00:00:00 gvfs-afc-volume
0 S  1000  1454  1176  0  80   0 - 67591 poll_s ?        00:00:00 gvfs-mtp-volume
0 S  1000  1458  1176  0  80   0 - 70789 poll_s ?        00:00:00 gvfs-gphoto2-vo
0 S  1000  1462  1216  0  80   0 - 198692 poll_s tty2    00:00:00 gsd-power
0 S  1000  1463  1216  0  80   0 - 85964 poll_s tty2     00:00:00 gsd-print-notif
0 S  1000  1465  1216  0  80   0 - 104466 poll_s tty2    00:00:00 gsd-rfkill
0 S  1000  1466  1216  0  80   0 - 67563 poll_s tty2     00:00:00 gsd-screensaver
0 S  1000  1468  1216  0  80   0 - 111840 poll_s tty2    00:00:00 gsd-sharing
0 S  1000  1474  1216  0  80   0 - 111581 poll_s tty2    00:00:00 gsd-smartcard
0 S  1000  1475  1216  0  80   0 - 82374 poll_s tty2     00:00:00 gsd-sound
0 S  1000  1477  1216  0  80   0 - 122361 poll_s tty2    00:00:00 gsd-xsettings
0 S  1000  1487  1216  0  80   0 - 105712 poll_s tty2    00:00:00 gsd-wacom
0 S  1000  1498  1216  0  80   0 - 68169 poll_s tty2     00:00:00 gsd-a11y-settin
